Year,ProductionMonth,UID,CondINJ,Flare,Fuel,FuelINJ,GasConfidential,Method,Oil,Operation,Operator,Region,SOR,Scheme,SolutionGas,SteamINJ,Vent
2016,2016-12,18,,0.1,15008,666,8356.4,SAGD,167309,SUMR,Suncor,Athabasca,3.202915685,MackayRiver,167.3,535876.3,
2015,2015-07,18,,,13795,,5088.6,SAGD,167356,SUMR,Suncor,Athabasca,2.847864524,MackayRiver,167.4,476607.5,12.8
2018,2018-02,12,,7.6,29133,246.9,,SAGD,167764,CNRLKB,CNRL,Athabasca,2.892920135,Kirby,765.7,485329.3,
2017,2017-02,12,,5.6,26445,,,SAGD,167946,CNRLKB,CNRL,Athabasca,2.673768367,Kirby,1328.5,449047.9,
2019,2019-06,18,,,15899,1550.4,3989.6,SAGD,168446,SUMR,Suncor,Athabasca,3.022899313,MackayRiver,168.4,509195.6,
2017,2017-04,12,,11.1,26655,,,SAGD,169326,CNRLKB,CNRL,Athabasca,2.697796435,Kirby,1615.4,456806,
2015,2015-08,12,,17.5,23138,,,SAGD,169930,CNRLKB,CNRL,Athabasca,2.291460847,Kirby,903.3,389388.4,
2017,2017-01,8,,2.6,60432,,,SAGD,171522,HSESR,Husky,Athabasca,4.841895224,Sunrise,1052,830490.1,
2016,2016-12,8,,0.6,59742,,,SAGD,171856,HSESR,Husky,Athabasca,4.781298169,Sunrise,1185.6,821694.3,
2016,2016-02,18,,,12426,,8075.5,SAGD,172417,SUMR,Suncor,Athabasca,2.8351024,MackayRiver,172.4,488819,
2017,2017-10,12,,1.5,31770,172.4,,SAGD,172477,CNRLKB,CNRL,Athabasca,3.066129474,Kirby,880.8,528836.2,
2018,2018-08,12,,114.6,27851,117.9,,SAGD,173384,CNRLKB,CNRL,Athabasca,2.732028134,Kirby,1427,473688.6,
2017,2017-09,12,,5.9,28198,89.7,,SAGD,173638,CNRLKB,CNRL,Athabasca,2.774422836,Kirby,1313.9,481744.4,
2018,2018-09,12,,129.6,31234,,,SAGD,173793,CNRLKB,CNRL,Athabasca,2.998481524,Kirby,1216.1,521114.2,20.8
2017,2017-01,18,,,14655,848.7,8907.2,SAGD,173946,SUMR,Suncor,Athabasca,3.118669724,MackayRiver,174,542479.5,
2017,2017-06,18,,,13935,72,7665.2,SAGD,174067,SUMR,Suncor,Athabasca,3.051681883,MackayRiver,174.1,531196.5,
2017,2017-12,18,,,13659,372,8255.3,SAGD,175016,SUMR,Suncor,Athabasca,3.123326509,MackayRiver,175,546631.8,
2015,2015-12,12,,41.6,26240,,,SAGD,175531,CNRLKB,CNRL,Athabasca,2.505061778,Kirby,1026.3,439716.5,
2017,2017-03,18,,,12847,547.8,8659.3,SAGD,176548,SUMR,Suncor,Athabasca,2.886497723,MackayRiver,176.5,509605.4,
2017,2017-03,12,,5.7,29400,,,SAGD,177026,CNRLKB,CNRL,Athabasca,2.80077582,Kirby,1267.6,495809.3,
2018,2018-07,12,,186.9,29302,176.4,,SAGD,177512,CNRLKB,CNRL,Athabasca,2.816233832,Kirby,1403,499915.3,
2018,2018-01,12,,3,28932,246.9,,SAGD,177615,CNRLKB,CNRL,Athabasca,2.698132424,Kirby,767.6,479229.6,17.2
2015,2015-02,7,1123.7,26.4,72839,215.8,44776.8,SAGD,177694,CNOOCLK,Nexen,Athabasca,3.329612705,LongLake,2639.7,591652.2,1.6
2017,2017-03,7,,26.7,34698,,22256.1,SAGD,178126,CNOOCLK,Nexen,Athabasca,3.970001044,LongLake,636,707161.2,
2019,2019-04,18,,,15204,1604.6,4873.6,SAGD,178156,SUMR,Suncor,Athabasca,2.820010092,MackayRiver,178.2,502402,18.5
2017,2017-07,18,,,13579,132.5,7601.9,SAGD,178420,SUMR,Suncor,Athabasca,2.918022129,MackayRiver,178.4,520633.8,18.1
2019,2019-05,18,,,15373,1761.9,4926.6,SAGD,178454,SUMR,Suncor,Athabasca,2.888015462,MackayRiver,178.5,515378.2,
