Year,ProductionMonth,UID,CondINJ,Flare,Fuel,FuelINJ,GasConfidential,Method,Oil,Operation,Operator,Region,SOR,Scheme,SolutionGas,SteamINJ,Vent,k_14
2016,2016-11,19,NA,61.9,18423,13.3,NA,SAGD,48309,COGGD,Connacher Oil And Gas Limited,Athabasca,4.997573936,GreatDivide,1530.9,241426.3,NA,7
2016,2016-08,19,NA,64.1,17514,NA,NA,SAGD,48395,COGGD,Connacher Oil And Gas Limited,Athabasca,4.916037128,GreatDivide,1092.7,237912.6,NA,7
2019,2019-12,14,NA,0.1,24912,2192.9,NA,SAGD,48514,SHAMR,Petrochina Canada Ltd.,Athabasca,6.712581651,Mackay River(Brion),451.6,"325,656",1.1,12
2016,2016-07,19,NA,60.8,18450,0.2,NA,SAGD,49224,COGGD,Connacher Oil And Gas Limited,Athabasca,5.037193088,GreatDivide,1077.8,247951.8,NA,7
2019,2019-08,19,NA,85.4,16154,NA,2527.4,SAGD,49361,COGGD,Connacher Oil And Gas Limited,Athabasca,5.143542182,GreatDivide,1396.5,253890.9,NA,7
2015,2015-04,11,NA,0.4,26176,NA,NA,SAGD,49966,HSETL,Husky,Cold Lake,6.962738439,TuckerLake,2684.3,347898.1,NA,12
2019,2019-06,19,NA,60.5,16127,NA,2585.8,SAGD,50073,COGGD,Connacher Oil And Gas Limited,Athabasca,5.102989018,GreatDivide,1317.7,255523.5,NA,7
2015,2015-01,11,NA,20,24897,NA,NA,SAGD,50662,HSETL,Husky,Cold Lake,6.391159141,TuckerLake,2757.5,323792.1,NA,12
2015,2015-03,11,NA,1,26419,NA,NA,SAGD,50985,HSETL,Husky,Cold Lake,6.79764165,TuckerLake,2702.1,346576.4,NA,12
2016,2016-12,19,NA,5.9,20713,0.1,NA,SAGD,51204,COGGD,Connacher Oil And Gas Limited,Athabasca,5.254437153,GreatDivide,1516.5,269048.2,NA,7
2017,2017-04,19,NA,131.9,17158,19.6,2354.1,SAGD,51217,COGGD,Connacher Oil And Gas Limited,Athabasca,4.920464064,GreatDivide,1317.2,252011.9,NA,7
2019,2019-01,19,NA,78.3,17434,NA,2952,SAGD,51389,COGGD,Connacher Oil And Gas Limited,Athabasca,5.075086546,GreatDivide,1377.7,260802.1,0.9,7
2015,2015-06,11,NA,8.6,23786,NA,NA,SAGD,51404,HSETL,Husky,Cold Lake,6.15694468,TuckerLake,1765.3,316492.2,NA,12
2019,2019-07,19,NA,111.7,16456,NA,2474.8,SAGD,51880,COGGD,Connacher Oil And Gas Limited,Athabasca,5.034953537,GreatDivide,1555.3,261214.9,NA,7
2019,2019-04,19,NA,65.1,16061,NA,2584.9,SAGD,52674,COGGD,Connacher Oil And Gas Limited,Athabasca,4.81841136,GreatDivide,2202.1,253805,NA,7
2018,2018-09,19,NA,196.5,17244,NA,2486.3,SAGD,53308,COGGD,Connacher Oil And Gas Limited,Athabasca,4.834698047,GreatDivide,2290.5,257727.6,NA,7
2019,2019-05,19,NA,82.6,16329,NA,2642.3,SAGD,53487,COGGD,Connacher Oil And Gas Limited,Athabasca,4.878395432,GreatDivide,1230.8,260932.2,NA,7
2018,2018-08,20,NA,111.5,13082,NA,NA,SAGD,53919,OSUM,Osum,Cold Lake,3.648150655,Orion,1375.7,196705,NA,13
